error_id,code,cleaned_error_message,error_category,compiler_phase,error_type_general,violated_rule,full_context_window,input_sequence,target_explanation
1,int main(){ int x = 10 return 0; },expected ';' before 'return',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int x = 10 return 0; },[ERROR] expected ';' before 'return' [LINE] int main(){ int x = 10 return 0; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
2,"int main(){ printf(""Hello"") return 0; }",expected ';' before 'return',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ printf(""Hello"") return 0; }","[ERROR] expected ';' before 'return' [LINE] int main(){ printf(""Hello"") return 0; } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
3,int main( { return 0; },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main( { return 0; },[ERROR] expected ')' before '{' [LINE] int main( { return 0; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
4,int main(){ if(1 { return 0; } },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ if(1 { return 0; } },[ERROR] expected ')' before '{' [LINE] int main(){ if(1 { return 0; } } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
5,int main(){ int x = 10;,expected '}' at end of input,missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int x = 10;,[ERROR] expected '}' at end of input [LINE] int main(){ int x = 10; [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
6,int main(){ for(int i=0;i<5;i++ { } },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ for(int i=0;i<5;i++ { } },[ERROR] expected ')' before '{' [LINE] int main(){ for(int i=0;i<5;i++ { } } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
7,int main(){ while(1 { } },expected ')' before '{',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ while(1 { } },[ERROR] expected ')' before '{' [LINE] int main(){ while(1 { } } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
8,int main(){ int x = (5 + 3; },expected ')' before ';',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int x = (5 + 3; },[ERROR] expected ')' before ';' [LINE] int main(){ int x = (5 + 3; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
9,"int main(){ printf(""Hi""; }",expected ')' before ';',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ printf(""Hi""; }","[ERROR] expected ')' before ';' [LINE] int main(){ printf(""Hi""; } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
10,"int main(){ if(1) printf(""ok"") }",expected ';' before '}',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ if(1) printf(""ok"") }","[ERROR] expected ';' before '}' [LINE] int main(){ if(1) printf(""ok"") } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
11,int main(){ int a = 5 int b = 6; },expected ';' before 'int',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ int a = 5 int b = 6; },[ERROR] expected ';' before 'int' [LINE] int main(){ int a = 5 int b = 6; } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
12,int main(){ return 0 },expected ';' before '}',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,int main(){ return 0 },[ERROR] expected ';' before '}' [LINE] int main(){ return 0 } [CATEGORY] missing_token [PHASE] Parsing,"This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
13,"int main(){ int x[5 = {1,2,3}; }",expected ']' before '=',missing_token,Parsing,Syntax,required token or delimiter missing according to language grammar,"int main(){ int x[5 = {1,2,3}; }","[ERROR] expected ']' before '=' [LINE] int main(){ int x[5 = {1,2,3}; } [CATEGORY] missing_token [PHASE] Parsing","This error indicates that a required symbol or delimiter is missing. In C, statements and expressions must follow strict grammatical rules. When a required token is absent, the compiler cannot correctly parse the program structure."
14,"int main(){ int x = ""hello""; }",invalid conversion from 'const char*' to 'int',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ int x = ""hello""; }","[ERROR] invalid conversion from 'const char*' to 'int' [LINE] int main(){ int x = ""hello""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
15,"int main(){ float f = ""text""; }",cannot convert 'const char*' to 'float',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,"int main(){ float f = ""text""; }","[ERROR] cannot convert 'const char*' to 'float' [LINE] int main(){ float f = ""text""; } [CATEGORY] type_mismatch [PHASE] Semantic","This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
16,int main(){ int x; x = 3.5; },assignment from 'double' to 'int',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int x; x = 3.5; },[ERROR] assignment from 'double' to 'int' [LINE] int main(){ int x; x = 3.5; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
17,int main(){ char c = 1000; },overflow in conversion to 'char',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ char c = 1000; },[ERROR] overflow in conversion to 'char' [LINE] int main(){ char c = 1000; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
18,int main(){ int *p = 5; },invalid conversion from 'int' to 'int*',type_mismatch,Semantic,Type,incompatible data types used in assignment or expression,int main(){ int *p = 5; },[ERROR] invalid conversion from 'int' to 'int*' [LINE] int main(){ int *p = 5; } [CATEGORY] type_mismatch [PHASE] Semantic,"This error occurs because incompatible data types are used in an assignment or expression. In C, values must match the declared type of a variable. When types do not match, the compiler raises a type mismatch error."
